Japanisch;Deutsch

Allgemeine Redewendungen
おはじょう　[ございます]。;Guten Morgen.
こんにちは。;Guten Tag.
こんばんは。;Guten Abend.
さようなら。;Auf Wiederstehen.
しつれいします。;Verzeihung.
[どうも]　ありがとう　[ございます]。;Vielen Dank
どういたしまして。;Bitte schön.
すみません。;Entschuldigung.
ごめんあさい。;Tut mir leid.

Kommunikation im Unterricht
きいて　ください。;Hören Sie bitte zu.
ゆっくり　いって　ください。;Bitte sprechen Sie langsam.
みて　ください。;Schauen Sie bitte.
かいて　ください。;Schreiben Sie bitte.
じょんで　ください。;Lesen Sie bitte.
わかりました。;Ich habe verstanden.
わかりません。Ich verstehe nicht.
はい、そうです。;Ja, richtig.
~さん;Herr/Frau ~
~せんせい;Herr/Frau ~ (Anrede für Lehrer)

Lektion 1

なにを　のみますか。;Was trinken Sie?
コーヒーを　のみます。;Ich trinke Kaffee.

なに;was
のみます;trinken
コーヒー;Kaffee
こうちゃ;(schwarzer) Tee
おちゃ;grüner Tee
ジュース;Saft
ビール;Bier
ワイン;Wein
みず;Wasser

なにを　たべますか。;Was essen Sie?
パンを　たべます。;Ich esse Brot.

たべます;essen
かいます;kaufen
パン;Brot
りんご;Apfel
やさい;Gemüse
おかし;Süßigkeit(en)

さかな;Fisch
にく;Fleisch
じゃがいも;Kartoffel(n)
たまご;Ei(er)

いつ　パンを　たべますか。;Wann essen Sie Brot?
あさ　パンを たべます。;Morgens esse ich Brot.

いつ;wann
あさ;morgens
ひる;mittags
ばん, よる;abends, nachts
あした;morgen
きょう;heute

あさ　コーヒーを　のみますか。;Trinken Sie morgens Kaffee?
はい、のみます。;Ja, trinke ich.
ひる　ワインを　のみますか。;Trinken Sie mittags Wein?
いいえ、のみません。;Nein, trinke ich nicht.
よる　ビールを　のみますか。;Trinken Sie abends Bier?
よる　コーヒーを　のみますか。;Trinken Sie abends Kaffee?

Lektion 2

きのう　なにを　しました　か。;Was haben sie gestern gemacht?
ほんを　よみました。;Ich habe ein Buch gelesen.

けさ;heute morgen
きのう;gestern
さっき;vorhin, eben
します;tun, machen
よみます;lesen
ほん;Buch
ざっし;Zeitschrift, Magazin
しんぶん;Zeitung

きのう　なにを　しました　か。;Was haben Sie gestern gemacht?
かいものを　しました。;Ich habe Einkäufe gemacht.
どこで　しｈました　か。;Wo haben Sie das gemacht?
デパートで　しました。;Im Kaufhaus habe ich das gemacht.

かいもの;Einkäufe
かいものを します;einkaufen
べんきょう;Studium
よる べんきょうを します。;Ich lerne abends.
スポーツ;Sport
スポーツを　します;Sport treiben
しごと;Arbeit
しごとを　します;arbeiten
テニス;Tennis
テニスを　します;tennis spielen

うち;Haus, Wohnung
かいしゃ;Firma
スーパー;Supermarkt
デパート;Kaufhaus
どこ;wo

きのう　かたかなを　かきました　か。;Haben Sie gestern Katakana geschrieben?
いいえ、かきませんでした。;Nein, habe ich nicht geschrieben.
ひらがなを　かきました。;Ich habe Hiragana geschrieben.

きのう　てがみを　かきました　か。;Haben Sie gestern einen Brief geschrieben?
はい、かきました。;Ja, habe ich geschrieben.
それから　なにを　しました　か。;Was haben Sie dann gemacht?
ざっしをよみました。;Ich habe eine Zeitschrift gelesen.

ひらがな;Hiragana
かたかな;Katakana
かんじ;Kanji
てがみ;Brief
かきます;schreiben
それから;(und) dann

きのう　なにを　しました　か。;Was haben Sie gestern gemacht?
スポーツを　しました。;Ich habe Sport getrieben.
だれと　しました　か。;Mit wem haben Sie das gemacht?
ともだちと　しました。;Mit meinem Freund habe ich das gemacht.

だれ;wer
ともだち;Freund
つま;Ehefrau
しゅじん;mein Mann
おっと;Ehemann
かない;meine Frau
どうりょう;Kollege

Lektion 3

あした　どこへ　いきます　か。;Wohin gehen Sie morgen?
とうきょうへ　いきます。;ich gehe nach Tokyo.
まつださんは　らいしゅう　どこへ　いきます　か。;Wohin geht Matsuda-san nächste Woche?
